Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.102,,,2022-08-30 10:01:55,2022-08-30 10:05:21,3m - 25.229s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.102,,,2022-08-30 10:01:56,2022-08-30 10:03:11,1m - 15.226s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:01:56,2022-08-30 10:02:13,17.166s,PASSED
openBrowser(URL),Chrome 104.0.5112.102,병드민 URL OPEN,,2022-08-30 10:02:13,2022-08-30 10:02:18,5.070s,PASSED
maximizeWindow(),Chrome 104.0.5112.102,창 최대화,,2022-08-30 10:02:18,2022-08-30 10:02:18,0.147s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.102,로그인 버튼 확인,,2022-08-30 10:02:18,2022-08-30 10:02:18,0.319s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.102,로그인 버튼 선택,,2022-08-30 10:02:18,2022-08-30 10:02:21,2.365s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.102,로그인 화면 확인,,2022-08-30 10:02:21,2022-08-30 10:02:21,0.436s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.102,id 입력 전역변수 활용,,2022-08-30 10:02:21,2022-08-30 10:02:24,2.357s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.102,pw 입력 전역변수 활용,,2022-08-30 10:02:24,2022-08-30 10:02:26,2.350s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.102,활성화된 로그인 버튼 선택,,2022-08-30 10:02:26,2022-08-30 10:02:28,2.362s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.102,병드민 홈 화면 진입 확인,,2022-08-30 10:02:28,2022-08-30 10:02:29,1.078s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:02:29,2022-08-30 10:02:30,0.321s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:02:30,2022-08-30 10:02:32,2.394s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:02:32,2022-08-30 10:02:35,2.574s,PASSED
"click(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 선택,,2022-08-30 10:02:35,2022-08-30 10:02:37,2.591s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_cancel""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 > 취소,,2022-08-30 10:02:37,2022-08-30 10:02:40,2.487s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""), 5)",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 확인,,2022-08-30 10:02:40,2022-08-30 10:02:40,0.523s,PASSED
"click(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 선택,,2022-08-30 10:02:40,2022-08-30 10:02:43,2.359s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 > 저장 버튼 선택,,2022-08-30 10:02:43,2022-08-30 10:02:45,2.565s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_txt""), 0)",Chrome 104.0.5112.102,병원정보_공지사항 저장 버튼 알럿 문구,,2022-08-30 10:02:45,2022-08-30 10:02:46,0.533s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_saveConfirm""))",Chrome 104.0.5112.102,병원정보_공지사항 저장 알럿 문구 > 확인,,2022-08-30 10:02:46,2022-08-30 10:02:48,2.339s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,공지사항 타이틀 문구 확인,,2022-08-30 10:02:48,2022-08-30 10:02:49,0.531s,PASSED
"setText(findTestObject(""Page_공지사항/input__공지사항 제목 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.102,공지사항 제목 입력,,2022-08-30 10:02:49,2022-08-30 10:02:53,4.672s,PASSED
"setText(findTestObject(""Page_공지사항/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 ~~"")",Chrome 104.0.5112.102,공지사항 내용 입력,,2022-08-30 10:02:53,2022-08-30 10:02:58,4.891s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 등록_저장,,2022-08-30 10:02:58,2022-08-30 10:03:01,2.473s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_txt_saveConfirm""), 5)",Chrome 104.0.5112.102,공지사항을 등록하시겠습니까? 팝업 문구 확인,,2022-08-30 10:03:01,2022-08-30 10:03:01,0.422s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveCancel""), 5)",Chrome 104.0.5112.102,공지사항 등록 알럿 팝업 취소 확인,,2022-08-30 10:03:01,2022-08-30 10:03:01,0.326s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_saveCancel""))",Chrome 104.0.5112.102,공지사항 등록 알럿 팝업 취소 선택,,2022-08-30 10:03:01,2022-08-30 10:03:04,2.359s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 등록 저장 선택,,2022-08-30 10:03:04,2022-08-30 10:03:06,2.475s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.102,공지사항 알럿 팝업 저장 버튼 확인,,2022-08-30 10:03:06,2022-08-30 10:03:07,0.527s,PASSED
"click(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), STOP_ON_FAILURE)",Chrome 104.0.5112.102,공지사항 알럿 팝업 저장 버튼 선택,,2022-08-30 10:03:07,2022-08-30 10:03:09,2.349s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,공지사항 리스트 등록 확인,,2022-08-30 10:03:09,2022-08-30 10:03:10,0.968s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:03:10,2022-08-30 10:03:11,0.671s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_조회,Chrome 104.0.5112.102,,,2022-08-30 10:03:11,2022-08-30 10:03:48,37.601s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:03:11,2022-08-30 10:03:27,15.948s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:03:27,2022-08-30 10:03:27,0.303s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:03:27,2022-08-30 10:03:30,2.377s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:03:30,2022-08-30 10:03:32,2.586s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-08-30 10:03:32,2022-08-30 10:03:33,0.516s,PASSED
"setText(findTestObject(""Page_공지사항/input__검색어 입력""), ""똑닥 진우 테스트1111"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-08-30 10:03:33,2022-08-30 10:03:37,4.673s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-08-30 10:03:37,2022-08-30 10:03:40,2.354s,PASSED
"verifyTextPresent(""검색어 조건 및 다른 검색어를 입력 후 검색해주세요."", false)",Chrome 104.0.5112.102,검색어 미노출 문구 확인,,2022-08-30 10:03:40,2022-08-30 10:03:40,0.522s,PASSED
"setText(findTestObject(""Page_공지사항/input__검색어 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-08-30 10:03:40,2022-08-30 10:03:45,4.657s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-08-30 10:03:45,2022-08-30 10:03:47,2.340s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-08-30 10:03:47,2022-08-30 10:03:48,0.511s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:03:48,2022-08-30 10:03:48,0.661s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_수정,Chrome 104.0.5112.102,,,2022-08-30 10:03:48,2022-08-30 10:04:30,41.668s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:03:48,2022-08-30 10:04:04,16.038s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:04:05,2022-08-30 10:04:05,0.300s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:04:05,2022-08-30 10:04:07,2.359s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:04:07,2022-08-30 10:04:10,2.580s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-08-30 10:04:10,2022-08-30 10:04:10,0.519s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-08-30 10:04:10,2022-08-30 10:04:11,0.301s,PASSED
"enhancedClick(findTestObject(""Page_공지사항/button_수정 버튼 (진우 테스트)""))",Chrome 104.0.5112.102,공지사항 수정 선택,,2022-08-30 10:04:11,2022-08-30 10:04:13,2.361s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_save""), 5)",Chrome 104.0.5112.102,공지사항 저장 버튼 확인,,2022-08-30 10:04:13,2022-08-30 10:04:14,0.521s,PASSED
"setText(findTestObject(""Page_공지사항/input__공지사항 제목 입력""), ""똑닥 진우 테스트 수정"")",Chrome 104.0.5112.102,공지사항 제목 수정본 입력,,2022-08-30 10:04:14,2022-08-30 10:04:18,4.644s,PASSED
"setText(findTestObject(""Page_공지사항/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 수정 ~~"")",Chrome 104.0.5112.102,공지사학 내용 입력,,2022-08-30 10:04:18,2022-08-30 10:04:23,4.907s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 저장 버튼 선택,,2022-08-30 10:04:23,2022-08-30 10:04:26,2.580s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveCancel""), 5)",Chrome 104.0.5112.102,공지사항 저장 알럿 팝업 저장 버튼 확인,,2022-08-30 10:04:26,2022-08-30 10:04:26,0.513s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.102,"공지사항 저장 알럿 팝업 취소 버튼 확인
",,2022-08-30 10:04:26,2022-08-30 10:04:26,0.297s,PASSED
"click(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""))",Chrome 104.0.5112.102,공지사항 저장_저장 버튼 선택,,2022-08-30 10:04:26,2022-08-30 10:04:29,2.328s,PASSED
"verifyTextPresent(""똑닥 진우 테스트 수정"", false)",Chrome 104.0.5112.102,수정된 공지사항 리스트 제목 확인,,2022-08-30 10:04:29,2022-08-30 10:04:29,0.620s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:04:29,2022-08-30 10:04:30,0.653s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_삭제,Chrome 104.0.5112.102,,,2022-08-30 10:04:30,2022-08-30 10:05:21,50.531s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:04:30,2022-08-30 10:04:46,16.277s,PASSED
openBrowser(URL),Chrome 104.0.5112.102,병드민 URL OPEN,,2022-08-30 10:04:47,2022-08-30 10:04:52,5.300s,PASSED
maximizeWindow(),Chrome 104.0.5112.102,창 최대화,,2022-08-30 10:04:52,2022-08-30 10:04:52,0.117s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.102,로그인 버튼 확인,,2022-08-30 10:04:52,2022-08-30 10:04:52,0.411s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.102,로그인 버튼 선택,,2022-08-30 10:04:52,2022-08-30 10:04:55,2.352s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.102,로그인 화면 확인,,2022-08-30 10:04:55,2022-08-30 10:04:55,0.523s,PASSED
"setText(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.102,id 입력 전역변수 활용,,2022-08-30 10:04:55,2022-08-30 10:05:00,4.660s,PASSED
"setText(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.102,pw 입력 전역변수 활용,,2022-08-30 10:05:00,2022-08-30 10:05:05,4.668s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.102,활성화된 로그인 버튼 선택,,2022-08-30 10:05:05,2022-08-30 10:05:07,2.352s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.102,병드민 홈 화면 진입 확인,,2022-08-30 10:05:07,2022-08-30 10:05:08,1.133s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:05:08,2022-08-30 10:05:08,0.299s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:05:08,2022-08-30 10:05:11,2.371s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:05:11,2022-08-30 10:05:13,2.575s,PASSED
driver = getWebDriver(),Chrome 104.0.5112.102,현재 행 카운트,,2022-08-30 10:05:13,2022-08-30 10:05:13,0.007s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody""))",Chrome 104.0.5112.102,웹 테이블,,2022-08-30 10:05:13,2022-08-30 10:05:14,0.498s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 104.0.5112.102,,,2022-08-30 10:05:14,2022-08-30 10:05:14,0.278s,PASSED
rows_count = rows_table.size(),Chrome 104.0.5112.102,,,2022-08-30 10:05:14,2022-08-30 10:05:14,0.001s,PASSED
println(rows_count),Chrome 104.0.5112.102,,,2022-08-30 10:05:14,2022-08-30 10:05:14,0.000s,PASSED
