Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
테스트 리스너 check,Chrome 105.0.0.0,,,2022-09-14 10:19:05,2022-09-14 10:19:37,31.359s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 105.0.0.0,,,2022-09-14 10:19:06,2022-09-14 10:19:06,0.267s,SKIPPED
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-09-14 10:19:06,2022-09-14 10:19:06,0.245s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_수정,Chrome 105.0.0.0,,,2022-09-14 10:19:06,2022-09-14 10:19:37,30.825s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-09-14 10:19:06,2022-09-14 10:19:06,0.001s,PASSED
Start setup action : 병드민로그인,Chrome 105.0.0.0,,,2022-09-14 10:19:06,2022-09-14 10:19:20,13.870s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/hospital_info""), 5)",Chrome 105.0.0.0,병원정보 확인,,2022-09-14 10:19:20,2022-09-14 10:19:20,0.315s,PASSED
"click(findTestObject(""Page_병드민/hospital_info""))",Chrome 105.0.0.0,병원정보_병원정보 진입,,2022-09-14 10:19:20,2022-09-14 10:19:22,1.398s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/notice""))",Chrome 105.0.0.0,병원정보_공지사항 진입,,2022-09-14 10:19:22,2022-09-14 10:19:23,1.597s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 105.0.0.0,"공지사항 타이틀 문구 확인
",,2022-09-14 10:19:23,2022-09-14 10:19:24,0.531s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 105.0.0.0,똑닥 진우 테스트 노출 확인,,2022-09-14 10:19:24,2022-09-14 10:19:24,0.308s,PASSED
"enhancedClick(findTestObject(""Page_공지사항/notice_btn_edit""))",Chrome 105.0.0.0,공지사항 수정 선택,,2022-09-14 10:19:24,2022-09-14 10:19:25,1.401s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_save""), 5)",Chrome 105.0.0.0,공지사항 저장 버튼 확인,,2022-09-14 10:19:25,2022-09-14 10:19:26,0.539s,PASSED
"setText(findTestObject(""Page_공지사항/notice_input_title""), ""똑닥 진우 테스트 수정"")",Chrome 105.0.0.0,공지사항 제목 수정본 입력,,2022-09-14 10:19:26,2022-09-14 10:19:29,2.677s,PASSED
"setText(findTestObject(""Page_공지사항/notice_input_description""), ""똑닥 진우 테스트 내용 수정 ~~"")",Chrome 105.0.0.0,공지사학 내용 입력,,2022-09-14 10:19:29,2022-09-14 10:19:32,2.896s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 105.0.0.0,공지사항 저장 버튼 선택,,2022-09-14 10:19:32,2022-09-14 10:19:33,1.578s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveCancel""), 5)",Chrome 105.0.0.0,공지사항 저장 알럿 팝업 저장 버튼 확인,,2022-09-14 10:19:33,2022-09-14 10:19:34,0.520s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveConfirm""), 5)",Chrome 105.0.0.0,"공지사항 저장 알럿 팝업 취소 버튼 확인
",,2022-09-14 10:19:34,2022-09-14 10:19:34,0.315s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_saveConfirm""))",Chrome 105.0.0.0,공지사항 저장_저장 버튼 선택,,2022-09-14 10:19:34,2022-09-14 10:19:35,1.342s,PASSED
"verifyTextPresent(""똑닥 진우 테스트 수정"", false)",Chrome 105.0.0.0,수정된 공지사항 리스트 제목 확인,,2022-09-14 10:19:35,2022-09-14 10:19:36,0.618s,PASSED
Start tear down : 브라우저종료,Chrome 105.0.0.0,,,2022-09-14 10:19:36,2022-09-14 10:19:37,0.679s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_삭제,Chrome 105.0.0.0,,,2022-09-14 10:19:37,2022-09-14 10:19:37,0.010s,SKIPPED
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-09-14 10:19:37,2022-09-14 10:19:37,0.003s,PASSED
