Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.81,,,2022-08-17 11:47:01,2022-08-17 11:48:56,1m - 55.232s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.81,,,2022-08-17 11:47:01,2022-08-17 11:47:37,36.293s,PASSED
Start setup action : setupTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:47:01,2022-08-17 11:47:01,0.249s,PASSED
openBrowser(URL),Chrome 104.0.5112.81,병드민 URL OPEN,,2022-08-17 11:47:01,2022-08-17 11:47:10,8.399s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,창 최대화,,2022-08-17 11:47:10,2022-08-17 11:47:10,0.139s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.81,로그인 버튼 확인,,2022-08-17 11:47:10,2022-08-17 11:47:10,0.341s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.81,로그인 버튼 선택,,2022-08-17 11:47:10,2022-08-17 11:47:11,0.885s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.81,로그인 화면 확인,,2022-08-17 11:47:11,2022-08-17 11:47:12,0.530s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.81,id 입력 전역변수 활용,,2022-08-17 11:47:12,2022-08-17 11:47:13,0.861s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.81,pw 입력 전역변수 활용,,2022-08-17 11:47:13,2022-08-17 11:47:13,0.864s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.81,활성화된 로그인 버튼 선택,,2022-08-17 11:47:13,2022-08-17 11:47:14,0.860s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.81,병드민 홈 화면 진입 확인,,2022-08-17 11:47:14,2022-08-17 11:47:17,2.696s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-17 11:47:17,2022-08-17 11:47:18,0.758s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.81,병원정보_병원정보 진입,,2022-08-17 11:47:18,2022-08-17 11:47:19,0.902s,PASSED
