Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.102,,,2022-09-04 21:56:45,2022-09-04 21:58:08,1m - 23.490s,FAILED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.102,,,2022-09-04 21:56:45,2022-09-04 21:56:45,0.047s,SKIPPED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.102,,,2022-09-04 21:56:45,2022-09-04 21:56:45,0.024s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_조회,Chrome 104.0.5112.102,,,2022-09-04 21:56:45,2022-09-04 21:57:13,27.775s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.102,,,2022-09-04 21:56:45,2022-09-04 21:56:46,1.081s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-09-04 21:56:46,2022-09-04 21:56:59,12.869s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/hospital_info""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-09-04 21:56:59,2022-09-04 21:57:00,0.310s,PASSED
"click(findTestObject(""Page_병드민/hospital_info""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-09-04 21:57:00,2022-09-04 21:57:01,1.398s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/notice""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-09-04 21:57:01,2022-09-04 21:57:03,1.592s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-09-04 21:57:03,2022-09-04 21:57:03,0.532s,PASSED
"setText(findTestObject(""Page_공지사항/notice_input_search""), ""똑닥 진우 테스트1111"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-09-04 21:57:03,2022-09-04 21:57:06,2.667s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-09-04 21:57:06,2022-09-04 21:57:07,1.361s,PASSED
"verifyTextPresent(""검색어 조건 및 다른 검색어를 입력 후 검색해주세요."", false)",Chrome 104.0.5112.102,검색어 미노출 문구 확인,,2022-09-04 21:57:07,2022-09-04 21:57:08,0.527s,PASSED
"setText(findTestObject(""Page_공지사항/notice_input_search""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-09-04 21:57:08,2022-09-04 21:57:10,2.660s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-09-04 21:57:10,2022-09-04 21:57:12,1.378s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-09-04 21:57:12,2022-09-04 21:57:12,0.514s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-09-04 21:57:12,2022-09-04 21:57:13,0.701s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_수정,Chrome 104.0.5112.102,,,2022-09-04 21:57:13,2022-09-04 21:57:31,17.753s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.102,,,2022-09-04 21:57:13,2022-09-04 21:57:14,1.011s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-09-04 21:57:14,2022-09-04 21:57:25,11.525s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/hospital_info""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-09-04 21:57:26,2022-09-04 21:57:26,0.307s,PASSED
"click(findTestObject(""Page_병드민/hospital_info""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-09-04 21:57:26,2022-09-04 21:57:27,1.416s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/notice""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-09-04 21:57:27,2022-09-04 21:57:29,1.614s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-09-04 21:57:29,2022-09-04 21:57:30,0.536s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-09-04 21:57:30,2022-09-04 21:57:30,0.461s,FAILED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-09-04 21:57:30,2022-09-04 21:57:31,0.664s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_삭제,Chrome 104.0.5112.102,,,2022-09-04 21:57:31,2022-09-04 21:58:08,37.693s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.102,,,2022-09-04 21:57:31,2022-09-04 21:57:32,1.010s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-09-04 21:57:32,2022-09-04 21:57:43,11.783s,PASSED
