Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.81,,,2022-08-23 14:50:14,2022-08-23 14:53:23,3m - 8.431s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.81,,,2022-08-23 14:50:15,2022-08-23 14:51:18,1m - 3.291s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.81,,,2022-08-23 14:50:15,2022-08-23 14:50:35,20.303s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-23 14:50:35,2022-08-23 14:50:35,0.297s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.81,병원정보_병원정보 진입,,2022-08-23 14:50:35,2022-08-23 14:50:38,2.392s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.81,병원정보_공지사항 진입,,2022-08-23 14:50:38,2022-08-23 14:50:41,3.261s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-23 14:50:41,2022-08-23 14:50:44,2.819s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_취소""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 > 취소,,2022-08-23 14:50:44,2022-08-23 14:50:47,2.591s,PASSED
"verifyElementPresent(findTestObject(""Page_/span_공지사항 등록 버튼""), 5)",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 확인,,2022-08-23 14:50:47,2022-08-23 14:50:47,0.627s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-23 14:50:47,2022-08-23 14:50:50,2.368s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 > 저장 버튼 선택,,2022-08-23 14:50:50,2022-08-23 14:50:52,2.559s,PASSED
"verifyElementPresent(findTestObject(""Page_/pre_내용을 입력해주세요""), 0)",Chrome 104.0.5112.81,병원정보_공지사항 저장 버튼 알럿 문구,,2022-08-23 14:50:52,2022-08-23 14:50:53,0.516s,PASSED
"click(findTestObject(""Page_/button_저장1 알럿팝업 확인""))",Chrome 104.0.5112.81,병원정보_공지사항 저장 알럿 문구 > 확인,,2022-08-23 14:50:53,2022-08-23 14:50:55,2.349s,PASSED
"verifyElementPresent(findTestObject(""Page_/h1_공지사항 타이틀 문구""), 5)",Chrome 104.0.5112.81,공지사항 타이틀 문구 확인,,2022-08-23 14:50:55,2022-08-23 14:50:56,0.533s,PASSED
"setText(findTestObject(""Page_/input__공지사항 제목 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.81,공지사항 제목 입력,,2022-08-23 14:50:56,2022-08-23 14:51:00,4.668s,PASSED
"setText(findTestObject(""Page_/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 ~~"")",Chrome 104.0.5112.81,공지사항 내용 입력,,2022-08-23 14:51:00,2022-08-23 14:51:05,4.798s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,공지사항 등록_저장,,2022-08-23 14:51:05,2022-08-23 14:51:08,2.567s,PASSED
"verifyElementPresent(findTestObject(""Page_/pre_공지사항을 등록하시겠습니까""), 5)",Chrome 104.0.5112.81,공지사항을 등록하시겠습니까? 팝업 문구 확인,,2022-08-23 14:51:08,2022-08-23 14:51:08,0.519s,PASSED
"verifyElementPresent(findTestObject(""Page_/button_저장2 알럿팝업 취소""), 5)",Chrome 104.0.5112.81,공지사항 등록 알럿 팝업 취소 확인,,2022-08-23 14:51:08,2022-08-23 14:51:08,0.313s,PASSED
"click(findTestObject(""Page_/button_저장2 알럿팝업 취소""))",Chrome 104.0.5112.81,공지사항 등록 알럿 팝업 취소 선택,,2022-08-23 14:51:08,2022-08-23 14:51:11,2.339s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,공지사항 등록 저장 선택,,2022-08-23 14:51:11,2022-08-23 14:51:13,2.568s,PASSED
"verifyElementPresent(findTestObject(""Page_/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.81,공지사항 알럿 팝업 저장 버튼 확인,,2022-08-23 14:51:13,2022-08-23 14:51:14,0.523s,PASSED
"click(findTestObject(""Page_/button_저장2 알럿팝업 확인""), STOP_ON_FAILURE)",Chrome 104.0.5112.81,공지사항 알럿 팝업 저장 버튼 선택,,2022-08-23 14:51:14,2022-08-23 14:51:16,2.356s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.81,공지사항 리스트 등록 확인,,2022-08-23 14:51:16,2022-08-23 14:51:17,1.066s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.81,,,2022-08-23 14:51:17,2022-08-23 14:51:18,0.721s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_조회,Chrome 104.0.5112.81,,,2022-08-23 14:51:18,2022-08-23 14:52:02,44.402s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.81,,,2022-08-23 14:51:18,2022-08-23 14:51:40,22.329s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-23 14:51:40,2022-08-23 14:51:41,0.302s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.81,병원정보_병원정보 진입,,2022-08-23 14:51:41,2022-08-23 14:51:43,2.372s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.81,병원정보_공지사항 진입,,2022-08-23 14:51:43,2022-08-23 14:51:46,2.888s,PASSED
"verifyElementPresent(findTestObject(""Page_/h1_공지사항 타이틀 문구""), 5)",Chrome 104.0.5112.81,"공지사항 타이틀 문구 확인
",,2022-08-23 14:51:46,2022-08-23 14:51:47,0.519s,PASSED
"setText(findTestObject(""Page_/input__검색어 입력""), ""똑닥 진우 테스트1111"")",Chrome 104.0.5112.81,똑닥 진우 테스트 입력,,2022-08-23 14:51:47,2022-08-23 14:51:51,4.671s,PASSED
"click(findTestObject(""Page_/button_검색""))",Chrome 104.0.5112.81,"검색 버튼 선택
",,2022-08-23 14:51:51,2022-08-23 14:51:54,2.355s,PASSED
"verifyTextPresent(""검색어 조건 및 다른 검색어를 입력 후 검색해주세요."", false)",Chrome 104.0.5112.81,검색어 미노출 문구 확인,,2022-08-23 14:51:54,2022-08-23 14:51:54,0.615s,PASSED
"setText(findTestObject(""Page_/input__검색어 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.81,똑닥 진우 테스트 입력,,2022-08-23 14:51:54,2022-08-23 14:51:59,4.651s,PASSED
"click(findTestObject(""Page_/button_검색""))",Chrome 104.0.5112.81,"검색 버튼 선택
",,2022-08-23 14:51:59,2022-08-23 14:52:01,2.343s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.81,똑닥 진우 테스트 노출 확인,,2022-08-23 14:52:01,2022-08-23 14:52:02,0.512s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.81,,,2022-08-23 14:52:02,2022-08-23 14:52:02,0.684s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_수정,Chrome 104.0.5112.81,,,2022-08-23 14:52:02,2022-08-23 14:52:47,44.524s,PASSED
