Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.81,,,2022-08-17 16:04:29,2022-08-17 16:07:36,3m - 6.222s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.81,,,2022-08-17 16:04:30,2022-08-17 16:05:32,1m - 2.842s,PASSED
Start setup action : setupTestCase,Chrome 104.0.5112.81,,,2022-08-17 16:04:30,2022-08-17 16:04:30,0.346s,PASSED
openBrowser(URL),Chrome 104.0.5112.81,병드민 URL OPEN,,2022-08-17 16:04:30,2022-08-17 16:04:36,6.111s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,창 최대화,,2022-08-17 16:04:36,2022-08-17 16:04:37,0.169s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.81,로그인 버튼 확인,,2022-08-17 16:04:37,2022-08-17 16:04:37,0.423s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.81,로그인 버튼 선택,,2022-08-17 16:04:37,2022-08-17 16:04:39,2.448s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.81,로그인 화면 확인,,2022-08-17 16:04:39,2022-08-17 16:04:40,0.483s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.81,id 입력 전역변수 활용,,2022-08-17 16:04:40,2022-08-17 16:04:43,2.601s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.81,pw 입력 전역변수 활용,,2022-08-17 16:04:43,2022-08-17 16:04:45,2.563s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.81,활성화된 로그인 버튼 선택,,2022-08-17 16:04:45,2022-08-17 16:04:48,2.536s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.81,병드민 홈 화면 진입 확인,,2022-08-17 16:04:48,2022-08-17 16:04:49,1.634s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-17 16:04:49,2022-08-17 16:04:50,0.497s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.81,병원정보_병원정보 진입,,2022-08-17 16:04:50,2022-08-17 16:04:52,2.597s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.81,병원정보_공지사항 진입,,2022-08-17 16:04:52,2022-08-17 16:04:55,2.732s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-17 16:04:55,2022-08-17 16:04:58,2.666s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_취소""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 > 취소,,2022-08-17 16:04:58,2022-08-17 16:05:00,2.574s,PASSED
"verifyElementPresent(findTestObject(""Page_/span_공지사항 등록 버튼""), 5)",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 확인,,2022-08-17 16:05:00,2022-08-17 16:05:01,0.444s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-17 16:05:01,2022-08-17 16:05:03,2.542s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 > 저장 버튼 선택,,2022-08-17 16:05:03,2022-08-17 16:05:06,2.588s,PASSED
"verifyElementPresent(findTestObject(""Page_/pre_내용을 입력해주세요""), 0)",Chrome 104.0.5112.81,병원정보_공지사항 저장 버튼 알럿 문구,,2022-08-17 16:05:06,2022-08-17 16:05:06,0.473s,PASSED
"click(findTestObject(""Page_/button_저장1 알럿팝업 확인""))",Chrome 104.0.5112.81,병원정보_공지사항 저장 알럿 문구 > 확인,,2022-08-17 16:05:06,2022-08-17 16:05:09,2.553s,PASSED
"verifyElementPresent(findTestObject(""Page_/h1_공지사항 타이틀 문구""), 5)",Chrome 104.0.5112.81,공지사항 타이틀 문구 확인,,2022-08-17 16:05:09,2022-08-17 16:05:09,0.457s,PASSED
"setText(findTestObject(""Page_/input__공지사항 제목 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.81,공지사항 제목 입력,,2022-08-17 16:05:09,2022-08-17 16:05:14,4.950s,PASSED
"setText(findTestObject(""Page_/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 ~~"")",Chrome 104.0.5112.81,공지사항 내용 입력,,2022-08-17 16:05:14,2022-08-17 16:05:19,5.001s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,공지사항 등록_저장,,2022-08-17 16:05:19,2022-08-17 16:05:22,2.536s,PASSED
"verifyElementPresent(findTestObject(""Page_/pre_공지사항을 등록하시겠습니까""), 5)",Chrome 104.0.5112.81,공지사항을 등록하시겠습니까? 팝업 문구 확인,,2022-08-17 16:05:22,2022-08-17 16:05:22,0.431s,PASSED
"verifyElementPresent(findTestObject(""Page_/button_저장2 알럿팝업 취소""), 5)",Chrome 104.0.5112.81,공지사항 등록 알럿 팝업 취소 확인,,2022-08-17 16:05:22,2022-08-17 16:05:23,0.460s,PASSED
"click(findTestObject(""Page_/button_저장2 알럿팝업 취소""))",Chrome 104.0.5112.81,공지사항 등록 알럿 팝업 취소 선택,,2022-08-17 16:05:23,2022-08-17 16:05:25,2.516s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,공지사항 등록 저장 선택,,2022-08-17 16:05:25,2022-08-17 16:05:28,2.497s,PASSED
"verifyElementPresent(findTestObject(""Page_/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.81,공지사항 알럿 팝업 저장 버튼 확인,,2022-08-17 16:05:28,2022-08-17 16:05:28,0.529s,PASSED
"click(findTestObject(""Page_/button_저장2 알럿팝업 확인""), STOP_ON_FAILURE)",Chrome 104.0.5112.81,공지사항 알럿 팝업 저장 버튼 선택,,2022-08-17 16:05:28,2022-08-17 16:05:31,2.561s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.81,공지사항 리스트 등록 확인,,2022-08-17 16:05:31,2022-08-17 16:05:32,0.607s,PASSED
closeBrowser(),Chrome 104.0.5112.81,브라우저 닫기,,2022-08-17 16:05:32,2022-08-17 16:05:32,0.941s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_조회,Chrome 104.0.5112.81,,,2022-08-17 16:05:32,2022-08-17 16:06:14,41.348s,PASSED
Start setup action : setupTestCase,Chrome 104.0.5112.81,,,2022-08-17 16:05:33,2022-08-17 16:05:33,0.002s,PASSED
openBrowser(URL),Chrome 104.0.5112.81,병드민 URL OPEN,,2022-08-17 16:05:34,2022-08-17 16:05:38,4.837s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,창 최대화,,2022-08-17 16:05:38,2022-08-17 16:05:39,0.146s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.81,로그인 버튼 확인,,2022-08-17 16:05:39,2022-08-17 16:05:39,0.360s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.81,로그인 버튼 선택,,2022-08-17 16:05:39,2022-08-17 16:05:41,2.427s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.81,로그인 화면 확인,,2022-08-17 16:05:41,2022-08-17 16:05:42,0.475s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.81,id 입력 전역변수 활용,,2022-08-17 16:05:42,2022-08-17 16:05:44,2.431s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.81,pw 입력 전역변수 활용,,2022-08-17 16:05:44,2022-08-17 16:05:47,2.447s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.81,활성화된 로그인 버튼 선택,,2022-08-17 16:05:47,2022-08-17 16:05:49,2.446s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.81,병드민 홈 화면 진입 확인,,2022-08-17 16:05:49,2022-08-17 16:05:51,1.377s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-17 16:05:51,2022-08-17 16:05:51,0.471s,PASSED
