Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.81,,,2022-08-17 11:39:35,2022-08-17 11:41:35,2m - 0.150s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.81,,,2022-08-17 11:39:35,2022-08-17 11:40:20,44.657s,PASSED
Start setup action : setupTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:39:35,2022-08-17 11:39:35,0.264s,PASSED
openBrowser(URL),Chrome 104.0.5112.81,병드민 URL OPEN,,2022-08-17 11:39:35,2022-08-17 11:39:54,19.007s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,창 최대화,,2022-08-17 11:39:54,2022-08-17 11:39:55,0.150s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.81,로그인 버튼 확인,,2022-08-17 11:39:55,2022-08-17 11:39:55,0.343s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.81,로그인 버튼 선택,,2022-08-17 11:39:55,2022-08-17 11:39:56,0.869s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.81,로그인 화면 확인,,2022-08-17 11:39:56,2022-08-17 11:39:56,0.526s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.81,id 입력 전역변수 활용,,2022-08-17 11:39:56,2022-08-17 11:39:57,0.981s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.81,pw 입력 전역변수 활용,,2022-08-17 11:39:57,2022-08-17 11:39:58,0.868s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.81,활성화된 로그인 버튼 선택,,2022-08-17 11:39:58,2022-08-17 11:39:59,0.840s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.81,병드민 홈 화면 진입 확인,,2022-08-17 11:39:59,2022-08-17 11:40:01,1.661s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.81,병원정보 확인,,2022-08-17 11:40:01,2022-08-17 11:40:01,0.314s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.81,병원정보_병원정보 진입,,2022-08-17 11:40:01,2022-08-17 11:40:02,0.896s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.81,병원정보_공지사항 진입,,2022-08-17 11:40:02,2022-08-17 11:40:03,1.089s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-17 11:40:03,2022-08-17 11:40:04,1.092s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_취소""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 > 취소,,2022-08-17 11:40:04,2022-08-17 11:40:05,1.081s,PASSED
"verifyElementPresent(findTestObject(""Page_/span_공지사항 등록 버튼""), 5)",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 확인,,2022-08-17 11:40:05,2022-08-17 11:40:06,0.513s,PASSED
"click(findTestObject(""Page_/span_공지사항 등록 버튼""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 선택,,2022-08-17 11:40:06,2022-08-17 11:40:06,0.846s,PASSED
"click(findTestObject(""Page_/button_공지사항 등록_저장""))",Chrome 104.0.5112.81,병원정보_공지사항 등록 버튼 > 저장 버튼 선택,,2022-08-17 11:40:06,2022-08-17 11:40:08,1.068s,PASSED
"verifyElementPresent(findTestObject(""Page_/pre_내용을 입력해주세요""), 0)",Chrome 104.0.5112.81,병원정보_공지사항 저장 버튼 알럿 문구,,2022-08-17 11:40:08,2022-08-17 11:40:08,0.540s,PASSED
"click(findTestObject(""Page_/button_저장1 알럿팝업 확인""))",Chrome 104.0.5112.81,병원정보_공지사항 저장 알럿 문구 > 확인,,2022-08-17 11:40:08,2022-08-17 11:40:09,0.869s,PASSED
