Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"공지사항_추가, 조회, 수정, 삭제",Chrome 104.0.5112.102,,,2022-08-30 10:15:06,2022-08-30 10:18:35,3m - 29.450s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_등록,Chrome 104.0.5112.102,,,2022-08-30 10:15:06,2022-08-30 10:16:23,1m - 17.293s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:15:06,2022-08-30 10:15:24,17.950s,PASSED
openBrowser(URL),Chrome 104.0.5112.102,병드민 URL OPEN,,2022-08-30 10:15:24,2022-08-30 10:15:30,6.066s,PASSED
maximizeWindow(),Chrome 104.0.5112.102,창 최대화,,2022-08-30 10:15:30,2022-08-30 10:15:30,0.148s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.102,로그인 버튼 확인,,2022-08-30 10:15:30,2022-08-30 10:15:31,0.303s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.102,로그인 버튼 선택,,2022-08-30 10:15:31,2022-08-30 10:15:33,2.369s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.102,로그인 화면 확인,,2022-08-30 10:15:33,2022-08-30 10:15:34,0.532s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.102,id 입력 전역변수 활용,,2022-08-30 10:15:34,2022-08-30 10:15:36,2.335s,PASSED
"sendKeys(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.102,pw 입력 전역변수 활용,,2022-08-30 10:15:36,2022-08-30 10:15:38,2.361s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.102,활성화된 로그인 버튼 선택,,2022-08-30 10:15:38,2022-08-30 10:15:41,2.332s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.102,병드민 홈 화면 진입 확인,,2022-08-30 10:15:41,2022-08-30 10:15:42,1.205s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:15:42,2022-08-30 10:15:42,0.315s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:15:42,2022-08-30 10:15:45,2.414s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:15:45,2022-08-30 10:15:47,2.598s,PASSED
"click(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 선택,,2022-08-30 10:15:47,2022-08-30 10:15:50,2.577s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_cancel""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 > 취소,,2022-08-30 10:15:50,2022-08-30 10:15:52,2.600s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""), 5)",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 확인,,2022-08-30 10:15:52,2022-08-30 10:15:53,0.539s,PASSED
"click(findTestObject(""Page_공지사항/span_공지사항 등록 버튼""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 선택,,2022-08-30 10:15:53,2022-08-30 10:15:55,2.358s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,병원정보_공지사항 등록 버튼 > 저장 버튼 선택,,2022-08-30 10:15:55,2022-08-30 10:15:58,2.561s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_txt""), 0)",Chrome 104.0.5112.102,병원정보_공지사항 저장 버튼 알럿 문구,,2022-08-30 10:15:58,2022-08-30 10:15:58,0.422s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_saveConfirm""))",Chrome 104.0.5112.102,병원정보_공지사항 저장 알럿 문구 > 확인,,2022-08-30 10:15:58,2022-08-30 10:16:01,2.356s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,공지사항 타이틀 문구 확인,,2022-08-30 10:16:01,2022-08-30 10:16:01,0.540s,PASSED
"setText(findTestObject(""Page_공지사항/input__공지사항 제목 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.102,공지사항 제목 입력,,2022-08-30 10:16:01,2022-08-30 10:16:06,4.676s,PASSED
"setText(findTestObject(""Page_공지사항/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 ~~"")",Chrome 104.0.5112.102,공지사항 내용 입력,,2022-08-30 10:16:06,2022-08-30 10:16:11,4.918s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 등록_저장,,2022-08-30 10:16:11,2022-08-30 10:16:13,2.571s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_txt_saveConfirm""), 5)",Chrome 104.0.5112.102,공지사항을 등록하시겠습니까? 팝업 문구 확인,,2022-08-30 10:16:13,2022-08-30 10:16:14,0.524s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveCancel""), 5)",Chrome 104.0.5112.102,공지사항 등록 알럿 팝업 취소 확인,,2022-08-30 10:16:14,2022-08-30 10:16:14,0.303s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_saveCancel""))",Chrome 104.0.5112.102,공지사항 등록 알럿 팝업 취소 선택,,2022-08-30 10:16:14,2022-08-30 10:16:16,2.354s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 등록 저장 선택,,2022-08-30 10:16:16,2022-08-30 10:16:19,2.564s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.102,공지사항 알럿 팝업 저장 버튼 확인,,2022-08-30 10:16:19,2022-08-30 10:16:20,0.533s,PASSED
"click(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), STOP_ON_FAILURE)",Chrome 104.0.5112.102,공지사항 알럿 팝업 저장 버튼 선택,,2022-08-30 10:16:20,2022-08-30 10:16:22,2.345s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,공지사항 리스트 등록 확인,,2022-08-30 10:16:22,2022-08-30 10:16:23,0.746s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:16:23,2022-08-30 10:16:23,0.663s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_조회,Chrome 104.0.5112.102,,,2022-08-30 10:16:23,2022-08-30 10:17:03,39.432s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:16:23,2022-08-30 10:16:41,17.586s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:16:41,2022-08-30 10:16:41,0.315s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:16:41,2022-08-30 10:16:44,2.374s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:16:44,2022-08-30 10:16:46,2.607s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-08-30 10:16:46,2022-08-30 10:16:47,0.528s,PASSED
"setText(findTestObject(""Page_공지사항/input__검색어 입력""), ""똑닥 진우 테스트1111"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-08-30 10:16:47,2022-08-30 10:16:52,4.699s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-08-30 10:16:52,2022-08-30 10:16:54,2.375s,PASSED
"verifyTextPresent(""검색어 조건 및 다른 검색어를 입력 후 검색해주세요."", false)",Chrome 104.0.5112.102,검색어 미노출 문구 확인,,2022-08-30 10:16:54,2022-08-30 10:16:55,0.527s,PASSED
"setText(findTestObject(""Page_공지사항/input__검색어 입력""), ""똑닥 진우 테스트"")",Chrome 104.0.5112.102,똑닥 진우 테스트 입력,,2022-08-30 10:16:55,2022-08-30 10:16:59,4.682s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_search""))",Chrome 104.0.5112.102,"검색 버튼 선택
",,2022-08-30 10:16:59,2022-08-30 10:17:02,2.338s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-08-30 10:17:02,2022-08-30 10:17:02,0.527s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:17:02,2022-08-30 10:17:03,0.643s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_수정,Chrome 104.0.5112.102,,,2022-08-30 10:17:03,2022-08-30 10:17:45,41.831s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:17:03,2022-08-30 10:17:19,15.972s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:17:19,2022-08-30 10:17:19,0.306s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:17:19,2022-08-30 10:17:22,2.387s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:17:22,2022-08-30 10:17:24,2.603s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/menu_txt_notice""), 5)",Chrome 104.0.5112.102,"공지사항 타이틀 문구 확인
",,2022-08-30 10:17:24,2022-08-30 10:17:25,0.557s,PASSED
"verifyTextPresent(""똑닥 진우 테스트"", false)",Chrome 104.0.5112.102,똑닥 진우 테스트 노출 확인,,2022-08-30 10:17:25,2022-08-30 10:17:25,0.313s,PASSED
"enhancedClick(findTestObject(""Page_공지사항/button_수정 버튼 (진우 테스트)""))",Chrome 104.0.5112.102,공지사항 수정 선택,,2022-08-30 10:17:25,2022-08-30 10:17:27,2.385s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_save""), 5)",Chrome 104.0.5112.102,공지사항 저장 버튼 확인,,2022-08-30 10:17:27,2022-08-30 10:17:28,0.516s,PASSED
"setText(findTestObject(""Page_공지사항/input__공지사항 제목 입력""), ""똑닥 진우 테스트 수정"")",Chrome 104.0.5112.102,공지사항 제목 수정본 입력,,2022-08-30 10:17:28,2022-08-30 10:17:33,4.673s,PASSED
"setText(findTestObject(""Page_공지사항/textarea_공지사항 내용 입력""), ""똑닥 진우 테스트 내용 수정 ~~"")",Chrome 104.0.5112.102,공지사학 내용 입력,,2022-08-30 10:17:33,2022-08-30 10:17:38,4.895s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_save""))",Chrome 104.0.5112.102,공지사항 저장 버튼 선택,,2022-08-30 10:17:38,2022-08-30 10:17:40,2.580s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/notice_btn_saveCancel""), 5)",Chrome 104.0.5112.102,공지사항 저장 알럿 팝업 저장 버튼 확인,,2022-08-30 10:17:40,2022-08-30 10:17:41,0.516s,PASSED
"verifyElementPresent(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""), 5)",Chrome 104.0.5112.102,"공지사항 저장 알럿 팝업 취소 버튼 확인
",,2022-08-30 10:17:41,2022-08-30 10:17:41,0.300s,PASSED
"click(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""))",Chrome 104.0.5112.102,공지사항 저장_저장 버튼 선택,,2022-08-30 10:17:41,2022-08-30 10:17:43,2.346s,PASSED
"verifyTextPresent(""똑닥 진우 테스트 수정"", false)",Chrome 104.0.5112.102,수정된 공지사항 리스트 제목 확인,,2022-08-30 10:17:43,2022-08-30 10:17:44,0.642s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:17:44,2022-08-30 10:17:45,0.664s,PASSED
,,,,,,,
Test Cases/병원 정보_병원 공지사항_삭제,Chrome 104.0.5112.102,,,2022-08-30 10:17:45,2022-08-30 10:18:35,50.698s,PASSED
Start setup action : 병드민로그인,Chrome 104.0.5112.102,,,2022-08-30 10:17:45,2022-08-30 10:18:01,16.497s,PASSED
openBrowser(URL),Chrome 104.0.5112.102,병드민 URL OPEN,,2022-08-30 10:18:01,2022-08-30 10:18:07,5.185s,PASSED
maximizeWindow(),Chrome 104.0.5112.102,창 최대화,,2022-08-30 10:18:07,2022-08-30 10:18:07,0.127s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/button_login""), 5)",Chrome 104.0.5112.102,로그인 버튼 확인,,2022-08-30 10:18:07,2022-08-30 10:18:07,0.407s,PASSED
"click(findTestObject(""Page_로그인 화면/button_login""))",Chrome 104.0.5112.102,로그인 버튼 선택,,2022-08-30 10:18:07,2022-08-30 10:18:09,2.351s,PASSED
"verifyElementPresent(findTestObject(""Page_로그인 화면/input__id input""), 5)",Chrome 104.0.5112.102,로그인 화면 확인,,2022-08-30 10:18:09,2022-08-30 10:18:10,0.531s,PASSED
"setText(findTestObject(""Page_로그인 화면/input__id input""), ID)",Chrome 104.0.5112.102,id 입력 전역변수 활용,,2022-08-30 10:18:10,2022-08-30 10:18:15,4.647s,PASSED
"setText(findTestObject(""Page_로그인 화면/input__pw inpuut""), PW)",Chrome 104.0.5112.102,pw 입력 전역변수 활용,,2022-08-30 10:18:15,2022-08-30 10:18:19,4.653s,PASSED
"click(findTestObject(""Page_로그인 화면/button_로그인 활성화""))",Chrome 104.0.5112.102,활성화된 로그인 버튼 선택,,2022-08-30 10:18:19,2022-08-30 10:18:22,2.348s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_홈""), 5)",Chrome 104.0.5112.102,병드민 홈 화면 진입 확인,,2022-08-30 10:18:22,2022-08-30 10:18:23,1.153s,PASSED
"verifyElementPresent(findTestObject(""Page_병드민/span_병원정보""), 5)",Chrome 104.0.5112.102,병원정보 확인,,2022-08-30 10:18:23,2022-08-30 10:18:23,0.326s,PASSED
"click(findTestObject(""Page_병드민/span_병원정보""))",Chrome 104.0.5112.102,병원정보_병원정보 진입,,2022-08-30 10:18:23,2022-08-30 10:18:25,2.390s,PASSED
"click(findTestObject(""Page_병드민/병원 정보/병원 정보_병원 공지사항/span_병원 공지사항""))",Chrome 104.0.5112.102,병원정보_공지사항 진입,,2022-08-30 10:18:25,2022-08-30 10:18:28,2.583s,PASSED
driver = getWebDriver(),Chrome 104.0.5112.102,현재 행 카운트,,2022-08-30 10:18:28,2022-08-30 10:18:28,0.009s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody""))",Chrome 104.0.5112.102,웹 테이블,,2022-08-30 10:18:28,2022-08-30 10:18:29,0.518s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 104.0.5112.102,,,2022-08-30 10:18:29,2022-08-30 10:18:29,0.266s,PASSED
rows_count = rows_table.size(),Chrome 104.0.5112.102,,,2022-08-30 10:18:29,2022-08-30 10:18:29,0.001s,PASSED
println(rows_count),Chrome 104.0.5112.102,,,2022-08-30 10:18:29,2022-08-30 10:18:29,0.002s,PASSED
"click(findTestObject(""Page_공지사항/notice_btn_delete""))",Chrome 104.0.5112.102,,,2022-08-30 10:18:29,2022-08-30 10:18:31,2.348s,PASSED
"verifyTextPresent(""공지사항을 삭제하시겠습니까?"", false)",Chrome 104.0.5112.102,공지사항 삭제 문구 확인,,2022-08-30 10:18:31,2022-08-30 10:18:32,0.527s,PASSED
"click(findTestObject(""Page_공지사항/button_저장2 알럿팝업 확인""))",Chrome 104.0.5112.102,알럿 팝업 확인 선택,,2022-08-30 10:18:32,2022-08-30 10:18:34,2.347s,PASSED
"rows_tables = Table.findElements(By.tagName(""tr""))",Chrome 104.0.5112.102,,,2022-08-30 10:18:34,2022-08-30 10:18:35,0.596s,PASSED
rows_counts = rows_tables.size(),Chrome 104.0.5112.102,,,2022-08-30 10:18:35,2022-08-30 10:18:35,0.000s,PASSED
println(rows_counts),Chrome 104.0.5112.102,,,2022-08-30 10:18:35,2022-08-30 10:18:35,0.000s,PASSED
"verifyEqual(rows_counts, rows_count - 1)",Chrome 104.0.5112.102,,,2022-08-30 10:18:35,2022-08-30 10:18:35,0.015s,PASSED
Start tear down : 브라우저종료,Chrome 104.0.5112.102,,,2022-08-30 10:18:35,2022-08-30 10:18:35,0.632s,PASSED
